,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,
0,Svadha Kollaar,"Next to Birla Open Minds International School, Osman Nagar, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2022",5.20 K/sq.ft,1125.00 sq.ft. - 1750.00 sq.ft.,3 Buildings - 192 units,,
1,Alekhya Srivaari County Villa Plots,"Near Financial District, Nandigama, Hyderabad",Residential Plots,Ready to Move,25.00 K/sq.yd,200.00 sq.yd. - 400.00 sq.yd.,,,
2,Alekhya Srivaari County Villa Plots,"Near Financial District, Nandigama, Hyderabad",Residential Plots,Ready to Move,25.00 K/sq.yd,200.00 sq.yd. - 400.00 sq.yd.,,,
3,Praneeth Elite,"Near Tellapur, Kollur, West Hyderabad, Hyderabad",3 BHK Apartment,"Sep, 2024",4.70 K/sq.ft,1469.00 sq.ft. - 2287.00 sq.ft.,144 units,"Jul, 2019",
4,Bhasyam Oxygen County Phase 1,"Kollur, West Hyderabad, Hyderabad",Residential Plots,Ready to Move,30.00 K/sq.yd,150.00 sq.yd. - 400.00 sq.yd.,8 units,"Jan, 2021",
5,Dukes County Phase II,"Nadigaon, Sheriguda, West Hyderabad, Hyderabad",Residential Plots,"Nov, 2022",40.00 K/sq.yd,200.00 sq.yd. - 467.00 sq.yd.,308 units,"Feb, 2020",
6,Shree Gold Mine,"Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.91 K/sq.ft,1300.00 sq.ft. - 1600.00 sq.ft.,,"Jan, 2022",
7,Bhuvanteza Aura II,"Velimala, Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",2.38 K/sq.ft,1145.00 sq.ft. - 2415.00 sq.ft.,4 Buildings - 430 units,"Oct, 2021",
8,SN Prime Villas,"Kollur, West Hyderabad, Hyderabad","3 BHK Duplex, Villa","Dec, 2024",4.23 K/sq.ft,2600.00 sq.ft. - 3900.00 sq.ft.,40 units,,
9,Bhashyam Oxygen County Phase 3,"Nandigama,Kollur, West Hyderabad, Hyderabad",Residential Plots,Ready to Move,23.80 K/sq.yd,150.00 sq.yd. - 1500.00 sq.yd.,,,
10,N Square West Woods,"Velimala, Kollur, Hyderabad",3 BHK Villa,"Jan, 2024",3.85 K/sq.ft,2600.00 sq.ft. - 3900.00 sq.ft.,,"Dec, 2021",
11,Bhuvanteza Aura II,"Velimala, Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",2.38 K/sq.ft,1145.00 sq.ft. - 2415.00 sq.ft.,4 Buildings - 430 units,"Oct, 2021",
12,EVK Avasa,"Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Jun, 2023",3.20 K/sq.ft,1000.00 sq.ft. - 2000.00 sq.ft.,200 units,,
13,Vajra The Royal Park,"Bowrampet, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",4.20 K/sq.ft,1275.00 sq.ft. - 1675.00 sq.ft.,6 Buildings - 760 units,,
14,RNG Supra Avenue,"Bowrampet, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2023",3.75 K/sq.ft,1063.00 sq.ft. - 1450.00 sq.ft.,,"Nov, 2021",
15,Param Heights,"Bachupally, Pragati Nagar Exit, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",4.50 K/sq.ft,1198.00 sq.ft. - 1708.00 sq.ft.,2 Buildings - 80 units,,
16,Vajra Nature City,"Bowrampet, Bachupally, North Hyderabad, Hyderabad",4 BHK Villa,"May, 2022",7.00 K/sq.ft,2300.00 sq.ft.,66 units,"Oct, 2020",
17,Param Heights,"Bachupally, Pragati Nagar Exit, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",4.50 K/sq.ft,1198.00 sq.ft. - 1708.00 sq.ft.,2 Buildings - 80 units,,
18,Tripura Landmark III,"Plot No. 2, Laxmi Ganpathi Nilayam, Road Number 76, Film Nagar Above Bank Of India, Opp To Film Nagar Temple, Bachupally, North Hyderabad, Hyderabad",3 BHK Villa,"May, 2022",7.14 K/sq.ft,2092.00 sq.ft. - 2126.00 sq.ft.,106 units,"Jul, 2018",
19,Ace Amura,"Ghatkesar, Pocharam, East Hyderabad, Hyderabad",2 BHK Apartment,"Dec, 2024",4.29 K/sq.ft,932.00 sq.ft. - 950.00 sq.ft.,1 Building - 208 units,"Jan, 2022",
20,Aalaya,"Narapally, Korremula, East Hyderabad, Hyderabad",3 BHK Apartment,"Dec, 2024",5.00 K/sq.ft,1546.00 sq.ft. - 1916.00 sq.ft.,1 Building - 118 units,,
21,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,
22,Srigdha Rising East,"Korremula, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2024",Price on request,1373.00 sq.ft. - 1994.00 sq.ft.,9 Buildings - 420 units,,
23,Aalaya,"Narapally, Korremula, East Hyderabad, Hyderabad",3 BHK Apartment,"Dec, 2024",5.00 K/sq.ft,1546.00 sq.ft. - 1916.00 sq.ft.,1 Building - 118 units,,
24,Surya Galaxy Towers,"Pocharam, Near Ghatkesar, HYD, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2022",4.50 K/sq.ft,1091.00 sq.ft. - 1568.00 sq.ft.,2 Buildings - 114 units,"May, 2018",
25,Surya Galaxy Towers,"Pocharam, Near Ghatkesar, HYD, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2022",4.50 K/sq.ft,1091.00 sq.ft. - 1568.00 sq.ft.,2 Buildings - 114 units,"May, 2018",
26,Srigdha Rising East,"Korremula, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2024",Price on request,1373.00 sq.ft. - 1994.00 sq.ft.,9 Buildings - 420 units,,
27,SVS Oracle,"26/P, Narapally , Ghatkesar, Chengicherla, East Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2024",4.50 K/sq.ft,279.00 sq.ft. - 386.00 sq.ft.,1 Building - 80 units,"May, 2019",
28,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,
29,SVS Oracle,"26/P, Narapally , Ghatkesar, Chengicherla, East Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2024",4.50 K/sq.ft,279.00 sq.ft. - 386.00 sq.ft.,1 Building - 80 units,"May, 2019",
30,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,
31,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,
32,SVS East Paradise,"47, Pocharam, East Hyderabad, Hyderabad",2 BHK Apartment,"Jan, 2024",4.50 K/sq.ft,1111.00 sq.ft. - 1143.00 sq.ft.,1 Building - 30 units,"Jan, 2019",
33,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,
34,Happy Homes,"Road Number 17, Near Matrusri Engineering College, Teen Manzil Colony, South Hyderabad, Hyderabad", BHK ,,Price on request,On Request,,,
35,Sunyuga Vista,"Apparel Park Road, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Jul, 2023",4.60 K/sq.ft,1175.00 sq.ft. - 1850.00 sq.ft.,3 Buildings - 218 units,"Feb, 2021",
36,Cozy Essence Elite,"Dulapally, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",3.90 K/sq.ft,1034.00 sq.ft. - 2068.00 sq.ft.,2 Buildings - 90 units,"Oct, 2021",
37,Ohana,"Ohana, Opp Trident Grande, Gundlapochampally Road, Kompally, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,75.00 K/sq.yd,240.00 sq.yd. - 831.00 sq.yd.,64 units,,
38,Cozy Essence Elite,"Dulapally, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",3.90 K/sq.ft,1034.00 sq.ft. - 2068.00 sq.ft.,2 Buildings - 90 units,"Oct, 2021",
39,Riddhi Pramukh Elegance,"Suchitra, Kompally, Jeedimetla, North Hyderabad, Hyderabad","2, 3, 4 BHK Apartments","Dec, 2023",5.40 K/sq.ft,1100.00 sq.ft. - 3150.00 sq.ft.,3 Buildings - 144 units,"Nov, 2021",
40,Triton Environ,"Beside Govt High School, Bahadurpally, Kompally, North Hyderabad, Hyderabad",3 BHK Villa,"Jul, 2022",6.30 K/sq.ft,2250.00 sq.ft. - 2524.00 sq.ft.,78 units,"May, 2018",
41,4 Blocks,"Suchitra, Godavari Homes, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2023",5.00 K/sq.ft,1055.00 sq.ft. - 1865.00 sq.ft.,4 Buildings - 360 units,"Aug, 2020",
42,Vasavi Nandanam,"Suchitra Circle, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2025",5.00 K/sq.ft,1235.00 sq.ft. - 2010.00 sq.ft.,5 Buildings - 420 units,"Nov, 2021",
43,Triton Environ,"Beside Govt High School, Bahadurpally, Kompally, North Hyderabad, Hyderabad",3 BHK Villa,"Jul, 2022",6.30 K/sq.ft,2250.00 sq.ft. - 2524.00 sq.ft.,78 units,"May, 2018",
44,Vision Cascade Greens,"Kompally, North Hyderabad, Hyderabad",3 BHK Apartment,"Nov, 2024",5.40 K/sq.ft,1570.00 sq.ft. - 2035.00 sq.ft.,135 units,"Dec, 2018",
45,Cozy Essence Elite,"Dulapally, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",3.90 K/sq.ft,1034.00 sq.ft. - 2068.00 sq.ft.,2 Buildings - 90 units,"Oct, 2021",
46,Vasavi Nandanam,"Suchitra Circle, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2025",5.00 K/sq.ft,1235.00 sq.ft. - 2010.00 sq.ft.,5 Buildings - 420 units,"Nov, 2021",
47,KSR Rams Abode East,"Kompally, North Hyderabad, Hyderabad",3 BHK Apartment,Ready to Move in,4.50 K/sq.ft,1763.00 sq.ft. - 1768.00 sq.ft.,1 Building - 10 units,"Jan, 2018",
48,Greater Kompally County,"Kompally, Hyderabad",Residential Plots,Ready to Move,20.39 K/sq.yd,163.00 sq.yd. - 395.00 sq.yd.,85 units,,
49,Sophists Myra Project,"Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Aug, 2027",4.50 K/sq.ft,1290.00 sq.ft. - 2095.00 sq.ft.,2 Buildings - 144 units,"Oct, 2021",
50,Alpine GMR Springfield,"Bolarum, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2022",4.90 K/sq.ft,1058.00 sq.ft. - 1382.00 sq.ft.,4 Buildings - 370 units,"May, 2020",
51,Vision Cascade Greens,"Kompally, North Hyderabad, Hyderabad",3 BHK Apartment,"Nov, 2024",5.40 K/sq.ft,1570.00 sq.ft. - 2035.00 sq.ft.,135 units,"Dec, 2018",
52,Ohana,"Ohana, Opp Trident Grande, Gundlapochampally Road, Kompally, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,75.00 K/sq.yd,240.00 sq.yd. - 831.00 sq.yd.,64 units,,
53,Manbhum Home Tree,"Kompally, North Hyderabad, Hyderabad","2, 2.5, 3 BHK Apartments","Dec, 2026",5.20 K/sq.ft,1198.00 sq.ft. - 1771.00 sq.ft.,1 Building - 196 units,"Mar, 2021",
54,Greater Kompally County,"Kompally, Hyderabad",Residential Plots,Ready to Move,20.39 K/sq.yd,163.00 sq.yd. - 395.00 sq.yd.,85 units,,
55,Delight Fortune Block B Block C,"Near ST Anthonys School Opp Dholari Dhani, Kompally, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2022",4.80 K/sq.ft,1150.00 sq.ft. - 1725.00 sq.ft.,54 units,"Jan, 2020",
56,Hastina Nature City,"Shadnagar, Hyderabad",Residential Plots,Ready to Move,Price on request,170.00 sq.yd. - 481.00 sq.yd.,14 units,,
57,Fortune Tandra Open Skies,"Nandigama, Shadnagar, West Hyderabad, Hyderabad",Residential Plots,Ready to Move,16.00 K/sq.yd,163.00 sq.yd. - 1602.00 sq.yd.,288 units,,
58,Sahaj Sri Laurel Springs,"Shadnagar, Hyderabad",Residential Plots,Ready to Move,15.90 K/sq.yd,100.00 sq.yd. - 1000.00 sq.yd.,415 units,,
59,Building True Gold Balanagar,"Shadnagar, Hyderabad",Residential Plots,"Jan, 2023",7.00 K/sq.yd,146.00 sq.yd. - 500.00 sq.yd.,537 units,"Sep, 2020",
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
